Collection,Nid,Title,Contributing Institution,Contributor,Coverage,Creator,Date Digital,Date Original (Precise),Date Original (Precise),Decade,Description,Digitization Specifications,Excerpt,Folder,Format,Image,Language,Publisher,Relation,Resource Identifier,Rights Management,Series,Source,Subject,Transcript,Type,Video
Back to the Land,5,Cider Press at Birdsfoot Farm,,"Katz, David",Saint Lawrence County,"Jones, Doug",13-Oct-09,,,,"Two men operating a cider press at Birdsfoot Farm in Canton, NY, circa 1980s. The man on the right is Doug Jones.","Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,birdsfoot001.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, b&w; 5x7 in.",Apples,,Image,
,,,,,Saint Lawrence River Valley,,,,,,,,,,,,,,,,,,,Cider,,,
,,,,,North Country (N.Y.),,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,New York (State),,,,,,,,,,,,,,,,,,,Communal living,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Food Processing,,,
,,,,,,,,,,,,,,,,,,,,,,,,Farm life,,,
Back to the Land,98,Birdsfoot Annual Photograph,,Birdsfoot Farm,,"Jones, Doug",15-Dec-09,,,,,"Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00114_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, color; 4 1/2 x 6 in.",Farmhouses,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Porches,,,
,,,,,,,,,,,,,,,,,,,,,,,,Communal living,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,"Portraits, Group",,,
Back to the Land,39,Onion Seedlings,,,,unknown,11-Nov-09,,,,Preparing to plant out onion seedlings at Birdsfoot Farm.,"Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_xxx_birdsfoot_0111_sc.jpg,,,Back to the Land,,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, color; 4x6 in.",Communal living -- Canton (N.Y.); Farm Life -- Canton (N.Y.),,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Organic farming,,,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Onions,,,
