Collection,Nid,Title,Contributing Institution,Contributor,Coverage,Creator,Date Digital,Date Original (Precise),Date Original (Precise),Decade,Description,Digitization Specifications,Excerpt,Folder,Format,Image,Language,Publisher,Relation,Resource Identifier,Rights Management,Series,Source,Subject,Transcript,Type,Video
Back to the Land,5,Cider Press at Birdsfoot Farm,,"Katz, David",Saint Lawrence County,"Jones, Doug",13-Oct-09,,,,"Two men operating a cider press at Birdsfoot Farm in Canton, NY, circa 1980s. The man on the right is Doug Jones.","Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,birdsfoot001.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, b&w; 5x7 in.",Apples,,Image,
,,,,,Saint Lawrence River Valley,,,,,,,,,,,,,,,,,,,Cider,,,
,,,,,North Country (N.Y.),,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,New York (State),,,,,,,,,,,,,,,,,,,Communal living,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Food Processing,,,
,,,,,,,,,,,,,,,,,,,,,,,,Farm life,,,
765kv,8,Blocking Dump Trucks in Madrid,,,St. Lawrence River Valley,"Jones, Doug",15-Oct-09,,,,Mark Pistoleze blocks dump trucks in Madrid as part of the protest against the 765Kv power lines.,"Photograph scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,slu-sc-130-001-sc.jpg,,,765 kv Line Protest,,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original format: Photograph, b&w; 765 kv Line Protest Collection; Manuscript Collection # 130, series 5, box 1; Special Collections and Vance University Archives, St. Lawrence University, Canton, New York",Protest movements,,Image,
,,,,,,,,,,,,,,,,slu-sc-130-001b-sc.jpg,,,,,,,,Rural development,,,
Back to the Land,98,Birdsfoot Annual Photograph,,Birdsfoot Farm,,"Jones, Doug",15-Dec-09,,,,,"Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_mss_158_birdsfoot_00114_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, color; 4 1/2 x 6 in.",Farmhouses,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Porches,,,
,,,,,,,,,,,,,,,,,,,,,,,,Communal living,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
